ID,Name,Description,Media_Type,Download_URL,Path_In_Zip,version,Size,Length,Contribution_ID,Date_Updated
13ac0985c08e98a4cfe842724dacad60,annotation-notes.pdf,,application/pdf,media/annotation-notes.pdf,,,165551,,,
e17e1a40c8649130ed05a6e900d1d684,image.jpg,,image/jpeg,media/image.jpg,,,73291,,,
7d89e20047bf1d9febe4ed79c1f306a5,metadata.pdf,,application/pdf,media/metadata.pdf,,,271435,,,
e0ee6eee4237186e94e081a84e748da2,translated-texts.pdf,,application/pdf,media/translated-texts.pdf,,,261734,,,
gulamera_mp3,mc_tondano_gulamera.mp3,,audio/mpeg,media/mc_tondano_gulamera.mp3,,,9848371,615.497143,gulamera,
gulamera_wav,mc_tondano_gulamera.wav,,audio/x-wav,media/mc_tondano_gulamera.wav,,,108566340,615.4551927437642,gulamera,
gulamera_eaf,mc_tondano_gulamera.eaf,,application/eaf+xml,media/mc_tondano_gulamera.eaf,,,757247,,gulamera,
gulamera_xml,mc_tondano_gulamera.xml,,application/xml,media/mc_tondano_gulamera.xml,,,272538,,gulamera,
gulamera_tsv,mc_tondano_gulamera.tsv,,text/tab-separated-values,media/mc_tondano_gulamera.tsv,,,47683,,gulamera,
holiday_mp3,mc_tondano_holiday.mp3,,audio/mpeg,media/mc_tondano_holiday.mp3,,,5068172,316.734694,holiday,
holiday_wav,mc_tondano_holiday.wav,,audio/x-wav,media/mc_tondano_holiday.wav,,,55865820,316.699410430839,holiday,
holiday_eaf,mc_tondano_holiday.eaf,,application/eaf+xml,media/mc_tondano_holiday.eaf,,,537739,,holiday,
holiday_xml,mc_tondano_holiday.xml,,application/xml,media/mc_tondano_holiday.xml,,,198180,,holiday,
holiday_tsv,mc_tondano_holiday.tsv,,text/tab-separated-values,media/mc_tondano_holiday.tsv,,,33811,,holiday,
kiniar01_mp3,mc_tondano_kiniar01.mp3,,audio/mpeg,media/mc_tondano_kiniar01.mp3,,,8398888,524.90449,kiniar01,
kiniar01_wav,mc_tondano_kiniar01.wav,,audio/x-wav,media/mc_tondano_kiniar01.wav,,,92585844,524.8628117913833,kiniar01,
kiniar01_eaf,mc_tondano_kiniar01.eaf,,application/eaf+xml,media/mc_tondano_kiniar01.eaf,,,707685,,kiniar01,
kiniar01_xml,mc_tondano_kiniar01.xml,,application/xml,media/mc_tondano_kiniar01.xml,,,261151,,kiniar01,
kiniar01_tsv,mc_tondano_kiniar01.tsv,,text/tab-separated-values,media/mc_tondano_kiniar01.tsv,,,45475,,kiniar01,
kiniar02_mp3,mc_tondano_kiniar02.mp3,,audio/mpeg,media/mc_tondano_kiniar02.mp3,,,12107440,756.68898,kiniar02,
kiniar02_wav,mc_tondano_kiniar02.wav,,audio/x-wav,media/mc_tondano_kiniar02.wav,,,133473960,756.6548526077097,kiniar02,
kiniar02_eaf,mc_tondano_kiniar02.eaf,,application/eaf+xml,media/mc_tondano_kiniar02.eaf,,,1050394,,kiniar02,
kiniar02_xml,mc_tondano_kiniar02.xml,,application/xml,media/mc_tondano_kiniar02.xml,,,387480,,kiniar02,
kiniar02_tsv,mc_tondano_kiniar02.tsv,,text/tab-separated-values,media/mc_tondano_kiniar02.tsv,,,67836,,kiniar02,
kiniar03_mp3,mc_tondano_kiniar03.mp3,,audio/mpeg,media/mc_tondano_kiniar03.mp3,,,8494183,530.860408,kiniar03,
kiniar03_wav,mc_tondano_kiniar03.wav,,audio/x-wav,media/mc_tondano_kiniar03.wav,,,93637968,530.8272335600907,kiniar03,
kiniar03_eaf,mc_tondano_kiniar03.eaf,,application/eaf+xml,media/mc_tondano_kiniar03.eaf,,,610176,,kiniar03,
kiniar03_xml,mc_tondano_kiniar03.xml,,application/xml,media/mc_tondano_kiniar03.xml,,,225394,,kiniar03,
kiniar03_tsv,mc_tondano_kiniar03.tsv,,text/tab-separated-values,media/mc_tondano_kiniar03.tsv,,,38383,,kiniar03,
mapalus_mp3,mc_tondano_mapalus.mp3,,audio/mpeg,media/mc_tondano_mapalus.mp3,,,6582020,411.350204,mapalus,
